날짜: 2026-06-26
게임 #412 (보드 #34, 시드 20270034)
대결: 선공 19931  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  9 6 8 5 5 3 1 4 4 7 5 5 4 8 6 1 8
  2 9 7 6 7 3 8 3 2 3 8 7 2 8 5 2 5
  6 6 6 7 1 6 7 8 1 8 6 7 2 4 8 4 3
  4 5 2 1 1 7 8 5 4 2 4 8 7 2 6 2 6
  3 4 2 1 1 8 2 5 4 7 9 1 9 5 9 8 1
  9 2 6 8 5 4 6 7 7 3 8 3 1 4 2 7 7
  8 9 1 1 5 3 9 3 2 2 5 9 8 2 1 5 9
  3 7 7 9 5 7 7 8 8 9 7 5 6 9 1 4 9
  3 4 8 8 7 3 2 4 2 5 8 5 4 3 2 6 2
  1 5 8 5 3 4 7 6 8 6 4 6 9 7 4 1 4

== 진행/결과 ==
  선공(FIRST) = 19931    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19931  (5,14)~(9,14)  점수 선5-후0
      2. [후]18913  (2,3)~(3,4)    점수 선5-후4
      3. [선]19931  (4,0)~(4,3)    점수 선9-후4
      4. [후]18913  (6,2)~(6,5)    점수 선9-후8
      5. [선]19931  (2,16)~(4,16)  점수 선12-후8
      6. [후]18913  (5,4)~(7,4)    점수 선12-후10
      7. [선]19931  (3,13)~(3,15)  점수 선15-후10
      8. [후]18913  (3,8)~(3,10)   점수 선15-후13
      9. [선]19931  (5,8)~(5,9)    점수 선17-후13
     10. [후]18913  (7,15)~(8,15)  점수 선17-후15
     11. [선]19931  (9,9)~(9,10)   점수 선19-후15
     12. [후]18913  (7,11)~(8,11)  점수 선19-후17
     13. [선]19931  (4,10)~(4,11)  점수 선21-후17
     14. [후]18913  (4,12)~(5,12)  점수 선21-후19
     15. [선]19931  (5,5)~(5,6)    점수 선23-후19
     16. [후]18913  (7,0)~(7,1)    점수 선23-후21
     17. [선]19931  (0,10)~(0,11)  점수 선25-후21
     18. [후]18913  (3,6)~(4,6)    점수 선25-후23
     19. [선]19931  (0,3)~(0,4)    점수 선27-후23
     20. [후]18913  (1,4)~(1,5)    점수 선27-후25
     21. [선]19931  (1,12)~(1,13)  점수 선29-후25
     22. [후]18913  (2,0)~(3,0)    점수 선29-후27
     23. [선]19931  (3,7)~(4,7)    점수 선31-후27
     24. [후]18913  (5,7)~(6,7)    점수 선31-후29
     25. [선]19931  (6,12)~(6,13)  점수 선33-후29
     26. [후]18913  (8,4)~(9,4)    점수 선33-후31
     27. [선]19931  (8,7)~(9,7)    점수 선35-후31
     28. [후]18913  (7,12)~(8,12)  점수 선35-후33
     29. [선]19931  (0,9)~(1,9)    점수 선37-후33
     30. [후]18913  (6,8)~(7,8)    점수 선37-후35
     31. [선]19931  (7,5)~(8,5)    점수 선39-후35
     32. [후]18913  (7,7)~(8,8)    점수 선38-후38
     33. [선]19931  (8,3)~(8,6)    점수 선41-후37
     34. [후]18913  (8,13)~(9,13)  점수 선41-후39
     35. [선]19931  (7,13)~(9,15)  점수 선47-후35
     36. [후]18913  (8,10)~(8,16)  점수 선44-후40
     37. [선]19931  PASS               점수 선44-후40
     38. [후]18913  PASS               점수 선44-후40
  --- 결과 ---  최종 점수 선44-후40  →  19931 승   (정상 종료)
