날짜: 2026-06-26
게임 #212 (보드 #17, 시드 20270017)
대결: 선공 19931  vs  후공 19405

== 보드 (10행 x 17열, 각 칸 1~9) ==
  6 3 8 5 8 7 9 8 2 7 7 6 6 1 4 4 6
  1 5 7 9 4 5 1 3 4 4 1 4 2 8 6 2 4
  1 3 6 3 3 3 5 9 9 2 9 5 1 3 8 5 6
  4 9 7 3 7 1 2 2 8 8 1 5 6 5 9 2 5
  2 4 5 7 1 9 5 4 8 4 3 3 5 5 7 2 7
  3 3 2 6 5 5 5 6 7 6 9 9 7 3 3 8 1
  7 5 7 3 8 6 3 5 1 1 4 7 4 4 7 3 8
  1 7 8 5 4 2 8 9 9 4 1 7 6 4 1 6 5
  3 4 4 3 2 5 2 4 8 2 1 6 4 8 8 5 1
  6 6 8 4 5 9 1 9 8 8 9 1 3 5 4 1 5

== 진행/결과 ==
  선공(FIRST) = 19931    후공(SECOND) = 19405
  --- 진행 과정 ---
      1. [선]19931  (2,0)~(5,0)    점수 선4-후0
      2. [후]19405  (9,14)~(9,16)  점수 선4-후3
      3. [선]19931  (7,0)~(9,0)    점수 선7-후3
      4. [후]19405  (0,16)~(1,16)  점수 선7-후5
      5. [선]19931  (4,9)~(4,11)   점수 선10-후5
      6. [후]19405  (8,9)~(9,9)    점수 선10-후7
      7. [선]19931  (9,10)~(9,11)  점수 선12-후7
      8. [후]19405  (7,12)~(7,13)  점수 선12-후9
      9. [선]19931  (1,4)~(1,6)    점수 선15-후9
     10. [후]19405  (0,5)~(2,5)    점수 선14-후12
     11. [선]19931  (2,4)~(3,4)    점수 선16-후12
     12. [후]19405  (9,6)~(9,7)    점수 선16-후14
     13. [선]19931  (6,9)~(7,10)   점수 선20-후14
     14. [후]19405  (5,4)~(5,5)    점수 선20-후16
     15. [선]19931  (5,10)~(8,10)  점수 선22-후16
     16. [후]19405  (0,7)~(0,8)    점수 선22-후18
     17. [선]19931  (7,6)~(8,6)    점수 선24-후18
     18. [후]19405  (8,3)~(8,5)    점수 선24-후21
     19. [선]19931  (2,10)~(3,10)  점수 선26-후21
     20. [후]19405  (1,10)~(2,11)  점수 선25-후25
     21. [선]19931  (1,8)~(1,12)   점수 선30-후23
     22. [후]19405  (0,7)~(1,9)    점수 선28-후27
     23. [선]19931  (8,1)~(9,1)    점수 선30-후27
     24. [후]19405  (6,8)~(7,8)    점수 선30-후29
     25. [선]19931  (4,4)~(4,5)    점수 선32-후29
     26. [후]19405  (4,14)~(5,14)  점수 선32-후31
     27. [선]19931  (6,14)~(6,15)  점수 선34-후31
     28. [후]19405  (4,7)~(5,7)    점수 선34-후33
     29. [선]19931  (5,12)~(5,13)  점수 선36-후33
     30. [후]19405  (3,5)~(4,7)    점수 선35-후38
     31. [선]19931  (2,6)~(5,6)    점수 선39-후36
     32. [후]19405  (3,3)~(4,3)    점수 선39-후38
     33. [선]19931  (3,13)~(4,13)  점수 선41-후38
     34. [후]19405  (0,14)~(1,14)  점수 선41-후40
     35. [선]19931  (1,13)~(1,15)  점수 선44-후39
     36. [후]19405  (2,12)~(3,13)  점수 선43-후43
     37. [선]19931  (6,2)~(6,3)    점수 선45-후43
     38. [후]19405  (5,1)~(6,2)    점수 선44-후47
     39. [선]19931  (8,11)~(8,12)  점수 선46-후47
     40. [후]19405  (7,11)~(9,12)  점수 선43-후52
     41. [선]19931  (2,9)~(3,9)    점수 선45-후52
     42. [후]19405  (3,11)~(4,12)  점수 선44-후55
     43. [선]19931  (3,14)~(7,14)  점수 선48-후53
     44. [후]19405  (4,8)~(4,15)   점수 선44-후59
     45. [선]19931  (3,8)~(3,15)   점수 선49-후56
     46. [후]19405  (0,12)~(6,12)  점수 선46-후61
     47. [선]19931  (6,13)~(7,15)  점수 선49-후60
     48. [후]19405  PASS               점수 선49-후60
     49. [선]19931  PASS               점수 선49-후60
  --- 결과 ---  최종 점수 선49-후60  →  19405 승   (정상 종료)
