날짜: 2026-06-26
게임 #26 (보드 #02, 시드 20270002)
대결: 선공 19405  vs  후공 18913

== 보드 (10행 x 17열, 각 칸 1~9) ==
  1 9 7 4 3 8 7 7 8 4 6 1 1 2 3 5 3
  4 8 7 3 3 8 8 9 5 1 4 5 5 6 4 3 8
  4 4 5 5 5 9 9 6 9 2 8 2 4 8 8 8 1
  5 8 4 1 2 7 4 1 2 4 4 4 2 4 3 6 8
  3 7 6 5 3 9 7 1 9 3 7 5 5 1 7 3 9
  6 2 7 1 9 2 4 1 2 8 9 2 6 8 6 9 2
  6 5 7 1 1 8 5 5 8 6 4 4 3 1 3 8 9
  5 1 9 4 4 8 5 9 5 3 1 8 2 1 4 3 6
  8 8 3 9 1 8 4 1 2 2 6 5 7 9 6 3 6
  9 4 6 8 4 3 3 3 1 7 4 3 8 8 4 3 2

== 진행/결과 ==
  선공(FIRST) = 19405    후공(SECOND) = 18913
  --- 진행 과정 ---
      1. [선]19405  (0,10)~(0,13)  점수 선4-후0
      2. [후]18913  (6,4)~(9,4)    점수 선4-후4
      3. [선]19405  (9,5)~(9,8)    점수 선8-후4
      4. [후]18913  (1,9)~(4,9)    점수 선8-후8
      5. [선]19405  (2,4)~(4,4)    점수 선11-후8
      6. [후]18913  (7,12)~(7,15)  점수 선11-후12
      7. [선]19405  (5,1)~(5,3)    점수 선14-후12
      8. [후]18913  (5,8)~(6,8)    점수 선14-후14
      9. [선]19405  (3,8)~(3,11)   점수 선18-후13
     10. [후]18913  (5,5)~(6,5)    점수 선18-후15
     11. [선]19405  (3,14)~(4,14)  점수 선20-후15
     12. [후]18913  (6,12)~(8,12)  점수 선20-후17
     13. [선]19405  (9,1)~(9,2)    점수 선22-후17
     14. [후]18913  (6,13)~(8,13)  점수 선22-후19
     15. [선]19405  (8,14)~(9,14)  점수 선24-후19
     16. [후]18913  (6,6)~(7,6)    점수 선24-후21
     17. [선]19405  (0,0)~(0,1)    점수 선26-후21
     18. [후]18913  (7,1)~(7,2)    점수 선26-후23
     19. [선]19405  (6,9)~(6,10)   점수 선28-후23
     20. [후]18913  (5,10)~(7,10)  점수 선27-후26
     21. [선]19405  (5,9)~(5,11)   점수 선30-후25
     22. [후]18913  (4,9)~(7,10)   점수 선27-후30
     23. [선]19405  (5,7)~(6,11)   점수 선36-후24
     24. [후]18913  (5,6)~(5,12)   점수 선31-후31
     25. [선]19405  (2,10)~(2,11)  점수 선33-후31
     26. [후]18913  (1,10)~(8,10)  점수 선30-후36
     27. [선]19405  (8,9)~(8,15)   점수 선36-후33
     28. [후]18913  (1,11)~(4,11)  점수 선34-후37
     29. [선]19405  (7,7)~(8,7)    점수 선36-후37
     30. [후]18913  (3,2)~(4,2)    점수 선36-후39
     31. [선]19405  (2,2)~(2,3)    점수 선38-후39
     32. [후]18913  (1,13)~(1,14)  점수 선38-후41
     33. [선]19405  (4,0)~(4,1)    점수 선40-후41
     34. [후]18913  (4,7)~(4,8)    점수 선40-후43
     35. [선]19405  (3,13)~(3,15)  점수 선42-후43
     36. [후]18913  (1,8)~(1,12)   점수 선42-후45
     37. [선]19405  (1,2)~(1,3)    점수 선44-후45
     38. [후]18913  (0,3)~(1,4)    점수 선43-후49
     39. [선]19405  (6,2)~(8,2)    점수 선46-후48
     40. [후]18913  (6,1)~(7,3)    점수 선44-후53
     41. [선]19405  PASS               점수 선44-후53
     42. [후]18913  PASS               점수 선44-후53
  --- 결과 ---  최종 점수 선44-후53  →  18913 승   (정상 종료)
